100 2000
10 72 19540084.274
10 76 4170004.676
10 77 19240019.858
10 78 8240033.67
10 79 1190080.413
10 82 6340091.023
10 83 16220055.7
10 85 18480032.147
10 90 9280084.062
10 94 13500005.185
10 96 13120095.604
10 97 1490070.637
10 99 1950020.487
11 13 19620061.06
11 15 19230034.356
11 16 9780028.729
11 17 14690074.81
11 18 18400089.292
11 20 2120045.174
11 22 140036.466
11 24 6540062.568
11 26 1170066.34
11 28 17150089.281
11 29 12180012.085
11 30 6440041.379
11 31 19850050.813
11 34 15660062.737
11 35 1250074.977
11 36 9820043.169
11 38 11300021.976
11 43 13700033.271
11 44 3470087.918
11 46 4290089.621
11 48 18670051.288
11 49 18610067.621
11 50 4640022.101
11 57 220075.88
11 59 7070026.051
11 60 6090033.321
11 63 20000010.142
11 64 7390097.863
11 67 3210005.836
11 69 6820032.205
11 70 14370046.983
11 72 6600027.749
11 75 17930051.871
11 80 5430000.929
11 82 17730089.003
11 84 16930084.714
11 86 19730018.482
11 87 6580066.763
11 88 15530098.948
11 91 2900039.412
11 94 3650060.615
11 96 16420094.514
11 99 15490043.434
12 13 3070023.581
12 14 18270071.621
12 15 18000050.159
12 17 1420095.107
12 18 3930083.423
12 20 12400084.993
12 24 13040015.707
12 26 16010028.537
12 27 9090096.73
12 35 5780058.339
12 40 14530065.509
12 44 1880071.266
12 46 6020098.04
12 50 10470034.484
12 52 15360045.53
12 54 4350050.65
12 59 12660058.764
12 61 14840078.75
12 68 14270098.974
12 70 11080015.087
12 71 14290040.961
12 74 8830069.922
12 75 6510017.096
12 79 6370026.626
12 81 14980063.399
12 84 19860016.292
12 85 17210013.321
12 86 1800091.729
12 89 10010065.654
12 90 14500041.877
12 93 8510013.405
12 95 9920038.433
13 14 16270086.377
13 17 19680052.051
13 18 6320031.44
13 23 16060069.258
13 24 10910024.859
13 29 4220037.133
13 30 5250022.372
13 33 13840025.389
13 34 6270012.676
13 37 19490059.063
13 39 3970010.165
13 41 18230034.784
13 43 16790051.607
13 47 3670075.069
13 49 12270005.13
13 54 9270073.116
13 56 7510075.24
13 57 10840011.07
13 58 8020077.145
13 60 6450040.548
13 69 19110010.734
13 72 450012.23
13 73 18360072.21
13 74 13200030.672
13 78 3700003.729
13 79 4600081.104
13 85 8790039.166
13 91 3830026.254
13 92 8940082.108
13 95 12000052.847
13 96 8890077.157
13 97 1110031.567
14 16 7850097.279
14 22 5500067.604
14 31 16900068.625
14 35 9600017.631
14 36 870084.066
14 38 3480099.173
14 42 15980033.369
14 43 18860043.105
14 45 430059.908
14 46 3530009.388
14 51 6460060.677
14 52 18090013.827
14 54 5440070.113
14 56 10730048.02
14 57 17740067.754
14 59 13680095.992
14 61 6010088.082
14 63 9100033.951
14 65 19130072.721
14 66 3620011.92
14 67 10660043.046
14 70 19910029.14
14 71 820064.896
14 76 4560002.311
14 77 6860048.66
14 89 2210059.516
14 93 12720055.021
14 94 11420079.426
14 97 1430080.63
14 98 1910007.266
14 99 14810057.898
15 18 5970023.734
15 19 7030032.948
15 23 5730072.705
15 25 17300048.996
15 27 16070052.57
15 31 3220065.184
15 35 8730038.762
15 36 14050093.65
15 38 560097.775
15 39 6360060.974
15 42 12060050.131
15 51 12700082.244
15 54 17160020.501
15 56 14660002.279
15 57 5370084.783
15 58 4720091.139
15 67 17510090.149
15 74 16140035.965
15 76 9910067.553
15 80 6430029.666
15 81 5950006.37
15 85 5390077.029
15 87 12200081.89
15 88 14030000.978
15 92 1630032.016
15 93 10900019.421
15 94 12430048.569
15 97 7430028.992
16 17 14180095.547
16 18 15020057.637
16 21 2720077.405
16 22 13480092.713
16 25 9700071.372
16 28 400062.586
16 29 5840070.942
16 30 15510056.063
16 32 2910068.424
16 34 6520015.938
16 35 17720038.881
16 37 18590041.799
16 38 13870007.248
16 42 14350027.182
16 45 19980037.992
16 48 11020090.859
16 52 10440007.079
16 53 3370026.09
16 54 1960018.197
16 57 4460044.39
16 58 1530011.525
16 59 860076.417
16 60 11850008.53
16 61 18350097.965
16 63 15760049.688
16 66 18720077.585
16 74 13400092.221
16 78 7890031.545
16 83 2100018.555
16 85 14640006.835
16 86 13290071.281
16 87 9670004.296
16 90 16990010.864
16 95 12640023.867
17 22 17590084.592
17 23 17890013.697
17 25 17220080.683
17 26 14550080.792
17 27 18920083.123
17 30 18960029.8
17 33 16040035.203
17 37 5020030.438
17 38 2060090.138
17 39 9060016.735
17 42 3710018.111
17 45 1320027.3
17 47 8580019.402
17 48 1510008.349
17 49 3980063.937
17 52 10020014.107
17 53 5560057.931
17 58 10080.861
17 71 5210064.17
17 72 3810006.728
17 74 15040027.874
17 75 13250098.126
17 76 10280051.165
17 80 17280051.14
17 81 710007.334
17 82 200034.624
17 87 6630083.337
17 93 19520001.522
17 94 16250070.254
17 96 2180056.463
17 97 9360089.042
17 99 9530058.885
18 21 3440085.492
18 29 12020033.455
18 30 6490053.966
18 35 8650018.31
18 36 5190078.897
18 37 4990037.169
18 38 15210040.089
18 40 17610041.772
18 42 5610056.386
18 44 9220043.077
18 46 5160079.112
18 48 10870007.838
18 51 11880083.319
18 58 6730049.975
18 60 12350048.236
18 64 18970005.46
18 67 16530090.858
18 72 10770071.91
18 73 2190097.697
18 76 17770018.76
18 78 17120068.937
18 80 13520043.844
18 87 13260093.189
18 88 17570042.454
18 93 19210010.803
18 94 1140071.64
18 98 5890061.7
19 21 11070081.339
19 22 8450083.06
19 24 12990087.309
19 26 7610031.413
19 28 11330089.336
19 30 12760066.978
19 31 2750051.093
19 32 3520081.671
19 36 16810042.872
19 38 4870038.588
19 39 1270082.582
19 42 1220050.23
19 43 14930067.278
19 46 2550067.87
19 47 17390020.196
19 52 690064.877
19 53 15690064.57
19 54 15790001.823
19 58 13890065.232
19 63 18690086.021
19 64 9200035.721
19 67 1500058.642
19 82 6760047.658
19 83 2880004.092
19 89 8260043.346
19 90 1730043.384
19 93 3680089.429
19 94 4320034.669
19 98 17920084.4
19 99 18320050.465
20 21 2140055.904
20 22 2540065.522
20 23 18470067.937
20 26 17420030.66
20 29 18300014.898
20 31 15920054.664
20 32 10960062.891
20 33 10130092.974
20 34 3160016.557
20 35 10750003.547
20 37 8760045.164
20 38 2230004.695
20 41 18850045.956
20 42 5030099.929
20 45 14760058.458
20 49 18070071.513
20 51 5900027.859
20 54 10110055.175
20 56 12880099.395
20 57 17620006.059
20 58 12170072.144
20 60 4980042.998
20 61 2130000.755
20 62 9230080.745
20 64 18730092.273
20 66 2560033.314
20 67 3550035.702
20 73 18010063.597
20 79 10880034.032
20 80 17200028.128
20 81 18870053.901
20 82 5480053.126
20 84 18280087.005
20 86 8480063.915
20 87 11660004.055
20 89 11760014.083
20 90 18950074.693
20 94 16610059.007
20 96 9900055.864
21 23 1390048.047
21 24 210077.793
21 26 4440067.393
21 27 10680030.994
21 28 17830058.522
21 30 8110088.73
21 32 16480008.996
21 34 1090035.397
21 37 3610057.206
21 40 5410007.562
21 41 15550048.693
21 46 9290045.3
21 49 630089.55
21 50 18570028.049
21 51 4040082.139
21 52 4970015.506
21 53 6800094.911
21 54 4340024.501
21 59 1540051.473
21 60 7280095.998
21 61 9690017.7
21 63 13730082.379
21 64 7350065.65
21 65 7930064.368
21 66 15620076.327
21 67 11450079.603
21 77 5090048.806
21 83 13220044.746
21 90 6250077.737
21 91 17020098.42
21 93 9380078.367
21 96 17250086.635
21 97 14300097.559
22 25 12920053.849
22 30 15830087.281
22 32 18840082.687
22 34 9950037.525
22 37 8710014.265
22 38 12620035.71
22 43 11200057.651
22 46 15990017.509
22 47 6710018.74
22 49 10360034.286
22 50 11370055.428
22 56 17840036.602
22 66 6700076.496
22 70 2860031.296
22 71 18030096.457
22 72 17350064.572
22 75 4470024.015
22 77 18160095.481
22 80 12160006.981
22 81 6530094.241
22 82 15290077.408
22 87 1290022.608
22 90 6170022.62
22 94 5240033.814
22 96 280028.724
23 24 10250087.092
23 25 12710097.113
23 28 2840031.917
23 29 15140098.567
23 30 3330082.891
23 31 6550091.363
23 32 7420045.387
23 34 2810008.87
23 36 17450063.873
23 38 4420017.256
23 47 5710050.403
23 49 15240016.185
23 50 15930023.317
23 52 13780075.444
23 54 13810006.218
23 55 10930042.63
23 56 9850037.722
23 59 17140035.138
23 60 15680066.619
23 61 5170045.748
23 63 5690098.841
23 67 11140040.028
23 68 14060049.596
23 69 16330062.019
23 72 16290095.121
23 78 5640068.752
23 81 3490090.961
23 84 14110041.794
23 87 18250027.959
23 88 15280094.43
23 89 17440055.961
23 95 4800089.842
23 96 17660046.518
24 26 5070081.789
24 28 12120037.181
24 30 14260026.47
24 31 3190007.467
24 33 9570062.42
24 35 14740086.365
24 36 15400069.326
24 38 310070.794
24 39 12290072.684
24 40 12190033.873
24 43 11560006.467
24 44 2400014.849
24 48 11410080.331
24 49 2250078.348
24 53 3430083.111
24 55 18520040.425
24 59 17050006.842
24 61 15030053.103
24 62 10160086.096
24 63 17880003.632
24 64 13140089.777
24 65 19010012.655
24 72 8350002.472
24 74 1360087.762
24 75 13740047.02
24 79 9260067.697
24 82 680015.365
24 84 11350008.351
24 89 2150078.354
24 91 19380008.342
24 94 13230047.27
25 26 9020065.245
25 27 790024.01
25 28 9720037.392
25 31 2730042.515
25 34 4400081.164
25 35 9520010.14
25 36 9890099.18
25 37 15100082.103
25 40 19160057.811
25 41 10190040.264
25 43 9300013.179
25 44 8560091.1
25 45 18110067.418
25 46 7990029.544
25 49 12100007.446
25 52 13490030.616
25 55 3150089.676
25 56 5850035.251
25 58 11490056.055
25 59 18420012.182
25 60 17970010.81
25 65 5330050.95
25 66 1830016.274
25 68 3870043.017
25 69 15180046.333
25 72 6000054.505
25 76 3420055.36
25 77 13670083.274
25 80 990075.861
25 81 160079.507
25 85 17070012.462
25 88 18240068.227
25 90 1340048.447
25 91 6310062.767
25 95 12790021.207
25 96 3780086.139
25 97 16630054.762
25 99 5400027.561
26 31 13210001.836
26 35 1600044.691
26 36 13760075.259
26 38 2580027.827
26 41 8080081.932
26 47 2430005.683
26 49 5750001.42
26 51 3660028.023
26 54 17700065.506
26 56 9740094.821
26 57 15960004.27
26 58 3900059.826
26 65 4370030.528
26 69 4570009.9
26 70 12890066.939
26 71 13070064.091
26 73 8750010.91
26 76 4190053.796
26 81 7740073.047
26 82 18560013.855
26 84 1900056.94
26 87 14320031.678
26 90 19430025.577
26 92 500045.335
26 93 3390055.162
26 95 16360079.124
26 99 10830084.551
27 29 16500058.518
27 38 9560093.315
27 40 10500074.239
27 41 7310063.933
27 45 11010016.745
27 46 5510020.36
27 49 2410027.872
27 51 12780028.278
27 54 15440074.31
27 55 18130095.879
27 56 3020011.716
27 64 7830026.468
27 65 18500040.109
27 67 14970008.456
27 69 830090.338
27 70 8930083.541
27 71 100093.681
27 73 4100015.615
27 79 5320095.316
27 80 7760062.249
27 85 8570061.285
27 86 17240010.821
27 87 6770044.985
27 88 2240011.088
27 89 17550066.141
27 91 13310001.028
27 93 13850005.905
27 94 10850017.047
27 98 11730003.182
28 30 14240090.871
28 31 14780023.451
28 32 11670088.212
28 34 17650021.441
28 35 19190053.847
28 36 17460047.025
28 37 19920092.353
28 44 15940000.554
28 47 12510071.812
28 48 1060086.409
28 50 9130091.604
28 51 230027.706
28 53 10230035.431
28 54 7970082.37
28 55 15050048.519
28 58 17850073.375
28 61 6930062.306
28 63 12010054.31
28 65 3250081.082
28 72 2160067.004
28 73 5470039.031
28 75 14230072.792
28 76 11680051.595
28 77 16190056.356
28 78 6500007.112
28 79 60060.331
28 83 8230015.114
28 85 11790086.737
28 86 15770015.428
28 88 1680041.52
28 92 14480012.219
28 95 4740090.969
28 98 13930039.786
29 30 7270090.431
29 31 12360015.534
29 32 7640067.296
29 33 15860051.948
29 37 7660025.33
29 38 12680083.522
29 41 15900070.103
29 43 9050092.333
29 44 15380089.536
29 45 960035.28
29 48 13790085.679
29 50 7580042.265
29 53 6470038.582
29 54 17310085.786
29 55 8320026.982
29 57 13080075.96
29 58 11780045.566
29 62 3310020.378
29 65 13340092.516
29 72 9040044.637
29 77 7400045.209
29 79 7040064.836
29 81 11830043.997
29 82 12940026.83
29 86 13630032.06
29 87 3380071.214
29 90 11340028.735
29 91 15460097.741
29 92 5270044.782
29 94 15150070.691
29 97 9480020.539
30 32 5670089.08
30 33 19050041.635
30 34 7940034.094
30 37 4180091.115
30 47 610002.915
30 49 3410079.85
30 52 16020072.048
30 57 16600080.77
30 58 9680061.148
30 59 10980017.225
30 71 11130018.474
30 72 4730071.146
30 77 1930054.087
30 78 50036.014
30 80 7900063.72
30 81 13110003.904
30 84 13280030.882
30 86 15810048.647
30 87 14280062.707
30 88 6790087.163
30 94 2500094.224
30 97 8370002.027
30 98 11360099.004
31 33 12610083.866
31 34 8200008.868
31 40 15130005.694
31 42 19020035.926
31 50 7340089.15
31 53 10760070.821
31 54 17030024.289
31 56 720048.029
31 59 13980081.67
31 67 12530034.288
31 68 14420034.765
31 69 13360003.985
31 70 13600000.395
31 75 1180005.327
31 77 11240068.239
31 79 5820012.932
31 81 6740005.555
31 87 13920084.903
31 92 11060058.873
31 94 4520096.171
31 95 1760040.43
31 97 9250083.89
31 98 13990095.749
31 99 4310094.708
32 33 2040073.592
32 37 14380062.926
32 38 1260094.233
32 51 1840099.463
32 56 6570014.366
32 60 9010075.087
32 65 900038.577
32 66 12150001.939
32 69 10540025.906
32 70 13150033.906
32 71 15480097.521
32 78 4120032.109
32 79 8270061.351
32 80 2030060.611
32 81 1560031.54
32 87 6410021.68
32 93 4490050.946
32 94 7980049.889
32 96 1550005.06
32 97 16720004.952
32 98 19100004.675
32 99 11260017.715
33 35 4940073.494
33 38 370017.66
33 39 5140060.993
33 40 11210029.406
33 41 7120073.635
33 42 4270091.071
33 45 4070023.533
33 48 8220087.134
33 51 18820019.098
33 55 11230012.653
33 56 14610065.968
33 57 13430032.985
33 58 7180035.017
33 59 8770006.575
33 63 5590000.669
33 64 19440046.925
33 66 530062.169
33 68 5360028.201
33 69 4000088.533
33 70 13970008.944
33 71 19580086.289
33 75 19770001.093
33 76 11590038.395
33 77 5450021.947
33 81 3720006.94
33 82 9760094.069
33 85 8740097.203
33 86 18150003.949
33 88 15370095.712
33 91 6060057.446
33 93 19820032.768
33 94 19070088.043
33 95 18430054.817
33 98 5800010.729
34 37 2350033.257
34 39 12860079.613
34 41 8180035.092
34 42 14440088.063
34 43 13830096.778
34 46 11160028.846
34 47 4110001.731
34 51 8500023.484
34 53 6650003.007
34 56 14700026.31
34 57 1740029.728
34 59 12370059.009
34 61 9430026.761
34 62 3760076.692
34 66 7150018.562
34 68 620066.609
34 69 16670086.694
34 71 11220081.549
34 74 730030.969
34 75 4590020.029
34 79 8400022.804
34 84 11040061.751
34 85 3300039.466
34 86 850072.677
34 89 18940091.018
34 92 7720034.946
34 95 8660026.125
34 99 1750038.74
35 37 8380095.7
35 39 6670021.805
35 44 18020030.202
35 48 16730048.193
35 50 18370080.871
35 52 12500049.299
35 56 5050001.861
35 58 5310049.139
35 62 10340093.245
35 63 470079.03
35 65 12520034.847
35 66 11990032.735
35 71 3740030.415
35 74 13060043.4
35 78 2790024.743
35 79 2480016.573
35 80 10620000.773
35 82 9980097.245
35 87 8590013.05
35 88 9350019.834
35 89 1410063.08
35 92 120043.925
35 93 7320082.678
35 94 10350064.232
35 99 420021.002
36 37 5680087.278
36 40 12670025.519
36 41 18930027.614
36 42 12050084.477
36 46 9180093.31
36 47 1710035.201
36 48 4580019.114
36 50 2520061.649
36 52 10310013.408
36 55 6230075.291
36 57 19660012.109
36 58 19200015.188
36 64 4610093.664
36 67 11750076.767
36 68 10200081.26
36 71 7460035.667
36 76 300055.675
36 79 4860051.223
36 89 840020.891
36 90 6810069.236
36 94 10990043.501
36 97 2800011.025
37 39 11400025.286
37 40 4820076.093
37 41 9710026.722
37 44 9540091.468
37 48 3990058.227
37 51 14540022.903
37 54 11700046.55
37 58 11380058.364
37 60 8970041.199
37 62 16750006.333
37 65 10370028.54
37 68 4620007.772
37 69 2760043.694
37 72 6040098.421
37 74 780012.879
37 77 7450086.324
37 78 12320007.425
37 80 2300078.708
37 82 7480003.14
37 83 11460075.452
37 85 4700094.629
37 90 7010099.264
37 94 8050010.629
37 95 1580085.519
37 97 17910019.431
37 98 16090009.444
38 39 490010.082
38 42 19780042.042
38 43 19840092.782
38 44 1330027.191
38 45 17470070.545
38 46 12280061.857
38 48 18580040.654
38 50 940042.373
38 54 2950043.188
38 55 4670021.241
38 56 9140063.625
38 60 11720096.106
38 61 10510068.233
38 73 14160029.819
38 74 18080030.757
38 77 15600051.701
38 82 9240038.599
38 83 15060016.484
38 86 2710048.238
38 89 3820013.383
38 93 17750000.736
39 40 7020096.669
39 42 15250038.448
39 50 6350009.176
39 52 6380078.688
39 53 2740057.236
39 56 18750013.142
39 57 11640073.309
39 60 13470070.861
39 67 7630063.188
39 69 90022.745
39 71 11630028.102
39 74 15090080.448
39 75 14140014.465
39 78 1160030.905
39 85 5200025.094
39 87 6660012.878
39 92 16260076.927
39 93 10810026.585
39 94 9830089.246
39 98 12260079.794
39 99 6560074.84
40 43 8060078.306
40 48 13820083.639
40 49 1070005.418
40 50 2570080.115
40 51 15630076.151
40 52 8950018.882
40 53 18390088.531
40 54 13010096.462
40 55 920078.938
40 57 10780096.612
40 59 4650067.162
40 63 7290003.12
40 64 5340099.057
40 65 19390036.42
40 66 8070085.732
40 67 1770070.609
40 69 1570049.891
40 70 16550061.475
40 72 1660072.366
40 74 19880064.292
40 78 17100000.103
40 80 10940005.818
40 84 1590096.999
40 87 570030.408
40 90 7140064.622
40 91 4690060.553
40 94 460083.913
40 95 10610036.128
41 43 14850011.944
41 44 4920081.904
41 45 18190056.83
41 52 7600006.63
41 56 15410014.723
41 58 12980033.825
41 61 19800002.157
41 62 1520041.044
41 63 7750070.08
41 66 1050045.08
41 70 2460043.963
41 78 16690011.983
41 80 19030046.66
41 83 15430006.707
41 87 10050098.676
41 88 4550004.986
41 89 70065.011
41 91 330074.71
41 93 1690010.227
41 95 1300001.191
41 97 3040085.092
41 98 14880099.034
42 44 3940053.822
42 50 10860046.43
42 51 14680096.875
42 57 10690069.727
42 62 2360055.578
42 63 10630006.126
42 66 14790007.328
42 76 16370034.898
42 78 13270002.163
42 81 19610034.753
42 83 6260050.988
42 85 14210035.825
42 88 12230082.115
42 89 14250002.453
42 91 16950088.011
42 93 15800086.632
42 98 17330066.276
43 44 13190075.868
43 46 12460068.599
43 47 4160040.323
43 53 7700094.969
43 54 19060017.399
43 55 14070050.845
43 57 8250051.417
43 59 10060042.328
43 62 12650088.494
43 64 17170026.363
43 65 14950007.215
43 69 8160049.408
43 70 16400048.232
43 73 18210077.247
43 74 4910053.495
43 75 10100063.243
43 77 1940018.014
43 85 11030010.589
43 88 4230006.642
43 89 12560002.243
43 94 14710073.332
43 95 13690089.606
43 98 1240089.252
44 46 4300078.871
44 47 16910004.13
44 48 7230075.029
44 51 15710091.763
44 56 5520075.725
44 65 2080090.64
44 68 2310063.904
44 69 16840036.699
44 70 11840032.655
44 71 890075.68
44 73 15840020.228
44 74 5630056.398
44 76 13320021.197
44 78 16350073.444
44 79 4630036.36
44 80 10790064.335
44 84 11980055.786
44 94 18220028.707
44 95 12740098.699
44 96 6890029.054
45 50 8640019.905
45 51 8540086.065
45 52 9170060.442
45 55 5920061.826
45 59 10530042.553
45 62 12770012.693
45 68 7560083.806
